AIRPORT,STATION NAME,LAT,LON
ATL,HARTSFIELD-JACKSON ATLANTA INTL AP,33.63,-84.442
ORD,CHICAGO O'HARE INTERNATIONAL AIRPORT,41.96,-87.932
DFW,DALLAS/FT WORTH INTERNATIONAL AP,32.897,-97.022
DEN,DENVER INTL AP,39.833,-104.658
CLT,CHARLOTTE/DOUGLAS INTERNATIONAL AP,35.223,-80.954
LAX,LOS ANGELES INTERNATIONAL AIRPORT,33.938,-118.387
PHX,PHOENIX SKY HARBOR INTL AIRPORT,33.428,-112.004
LAS,MCCARRAN INTERNATIONAL AIRPORT,36.072,-115.163
SEA,SEATTLE-TACOMA INTERNATIONAL AIRPORT,47.445,-122.314
IAH,G BUSH INTERCONTINENTAL AP/HOUSTON AP,29.984,-95.361
LGA,LA GUARDIA AIRPORT,40.779,-73.88
MCO,ORLANDO INTERNATIONAL AIRPORT,28.418,-81.324
BOS,GEN E L LOGAN INTERNATIONAL AIRPORT,42.361,-71.01
DCA,RONALD REAGAN WASHINGTON NATL AP,38.847,-77.035
EWR,NEWARK LIBERTY INTERNATIONAL AP,40.683,-74.169
SFO,SAN FRANCISCO INTERNATIONAL AIRPORT,37.62,-122.366
DTW,DETROIT METRO WAYNE COUNTY AIRPORT,42.231,-83.331
MSP,MINNEAPOLIS-ST PAUL INTERNATIONAL AP,44.885,-93.231
JFK,JOHN F KENNEDY INTERNATIONAL AIRPORT,40.639,-73.764
PHL,PHILADELPHIA INTERNATIONAL AIRPORT,39.873,-75.227
SLC,SALT LAKE CITY INTERNATIONAL AIRPORT,40.771,-111.965
MIA,MIAMI INTERNATIONAL AIRPORT,25.788,-80.317
BNA,NASHVILLE INTERNATIONAL AIRPORT,36.111,-86.688
BWI,BALTIMORE-WASHINGTON INTL AIRPORT,39.173,-76.684
SAN,SAN DIEGO INTERNATIONAL AIRPORT,32.734,-117.183
FLL,FORT LAUDERDALE HOL,26.072,-80.154
AUS,AUSTIN-BERGSTROM INTL AIRPORT,30.183,-97.68
IAD,WASHINGTON DULLES INTERNATIONAL AP,38.935,-77.447
MDW,CHICAGO MIDWAY INTL ARPT,41.784,-87.755
